value	experiment_id	converged	energy_ev_per_atom	pressure_gpa	delta_to_next_mev_per_atom	passes_energy_threshold	passes_all_denser_steps
12x12x12	S1-20260805-016	True	-57.2045336584	-0.3233114	3.3936117000052946	False	False
16x16x16	S1-20260805-017	True	-57.2011400467	-0.18799670000000002	5.08268109999932	False	False
20x20x20	S1-20260805-018	True	-57.1960573656	-0.09018920000000001	2.024876099994799	False	False
24x24x24	S1-20260805-019	True	-57.1940324895	-0.1202419	0.8222499999988031	True	True
28x28x28	S1-20260805-028	True	-57.1948547395	-0.1450817	None	None	None
