value	experiment_id	converged	energy_ev_per_atom	pressure_gpa	delta_to_next_mev_per_atom	passes_energy_threshold	passes_all_denser_steps
12x12x8	S1-20260805-020	True	-24.656644618599938	-2.9972129	0.22566465666784552	True	False
16x16x10	S1-20260805-021	True	-24.65641895394327	-2.9370424	2.035275826496985	False	False
20x20x12	S1-20260805-022	True	-24.658454229769767	-2.9538810000000004	0.059513343629191695	True	True
24x24x16	S1-20260805-023	True	-24.658513743113396	-2.9656466000000004	None	None	None
