atom_count	grid	pw_median_wall_seconds	candidate_median_wall_seconds	time_speedup	pw_median_peak_rss_kib	candidate_median_peak_rss_kib	peak_memory_improvement	generic_coefficient_count	grid_degree_count	coefficient_fraction	density_relative_l2	combined_error_mev_per_atom	performance_passed
32	[80, 80, 80]	6.483851902	6.243040556	1.0385727665614093	193112	193164	0.9997307986995506	645	512000	0.001259765625	0.0056479565519833115	0.07960428054638868	False
108	[120, 120, 120]	6.291384522	7.841489568	0.8023200780211763	361824	362068	0.9993260934410111	2173	1728000	0.0012575231481481482	0.0056479565519833115	0.07960428054680863	False
256	[160, 160, 160]	11.345872192	11.651826415	0.9737419515101831	697212	697464	0.9996386910292144	5119	4096000	0.001249755859375	0.0056479565519833115	0.07960428054404334	False
