1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/7060 Cartesian=0.0000000 0.0000000 0.0000000 (4031 plane wave)
 1 -70.55502241565333 0.0001417233560090814
 2 -70.55225999639671 0.0001417233560090814
 3 -37.34489086352878 0.0001417233560090814
 4 -37.31698142834595 0.0001417233560090814
 5 -37.31698142831288 0.0001417233560090814
 6 -37.31422732859404 0.0001417233560090814
 7 -37.31234522789479 0.0001417233560090814
 8 -37.31234522786182 0.0001417233560090814
 9 -1.380326221102572 0.0001417233560090814
 10 3.840848441480635 0.0001417233560090814
 11 4.260796370597582 0.0001417233560090814
 12 16.42713069062794 0.000000000000000
 13 16.42713069075231 0.000000000000000
 14 16.48347180993509 0.000000000000000
 15 16.48347181004474 0.000000000000000
 16 17.32343945466311 0.000000000000000
 17 18.84430409490322 0.000000000000000
 18 19.88510859846294 0.000000000000000
 19 19.98129099941769 0.000000000000000
 20 20.61748450255032 0.000000000000000

 spin=1 k-point=2/7060 Cartesian=0.01112802571019289 0.006424768639328944 0.000000000000000 (4041 plane wave)
 1 -70.55499316085817 0.0002834467120181627
 2 -70.55224610170529 0.0002834467120181627
 3 -37.34476936491798 0.0002834467120181627
 4 -37.31725595017820 0.0002834467120181627
 5 -37.31707195743334 0.0002834467120181627
 6 -37.31428076291758 0.0002834467120181627
 7 -37.31263299079113 0.0002834467120181627
 8 -37.31239506316711 0.0002834467120181627
 9 -1.355338078142745 0.0002834467120181627
 10 3.863628620171373 0.0002834467120181627
 11 4.285104796835644 0.0002834467120181627
 12 15.56873338568376 0.000000000000000
 13 15.88427687572966 0.000000000000000
 14 16.55473255823107 0.000000000000000
 15 17.06422951976934 0.000000000000000
 16 17.71929662133706 0.000000000000000
 17 19.15891537668498 0.000000000000000
 18 19.89575897564448 0.000000000000000
 19 20.05391075455965 0.000000000000000
 20 20.13875741051481 0.000000000000000

 spin=1 k-point=3/7060 Cartesian=0.02225605142038096 0.01284953727865510 0.000000000000000 (4055 plane wave)
 1 -70.55490567915361 0.0002834467120181627
 2 -70.55220584006152 0.0002834467120181627
 3 -37.34440918918899 0.0002834467120181627
 4 -37.31806978295900 0.0002834467120181627
 5 -37.31733921909549 0.0002834467120181627
 6 -37.31443810213520 0.0002834467120181627
 7 -37.31347942896950 0.0002834467120181627
 8 -37.31254314542628 0.0002834467120181627
 9 -1.280413356480935 0.0002834467120181627
 10 3.931970973756269 0.0002834467120181627
 11 4.357874225023225 0.0002834467120181627
 12 14.49143374366638 0.000000000000000
 13 15.35504623240695 0.000000000000000
 14 16.16930986333036 0.000000000000000
 15 17.70193320520518 0.000000000000000
 16 18.14379158085325 0.000000000000000
 17 19.16647419156202 0.000000000000000
 18 19.69243638204948 0.000000000000000
 19 19.87434927134284 0.000000000000000
 20 19.97110931355192 0.000000000000000

 spin=1 k-point=4/7060 Cartesian=0.03338407713057345 0.01927430591798382 0.000000000000000 (4061 plane wave)
 1 -70.55476427762049 0.0002834467120181627
 2 -70.55214083668081 0.0002834467120181627
 3 -37.34381830485217 0.0002834467120181627
 4 -37.31937826027534 0.0002834467120181627
 5 -37.31776702871975 0.0002834467120181627
 6 -37.31484125904430 0.0002834467120181627
 7 -37.31470100698503 0.0002834467120181627
 8 -37.31278536841210 0.0002834467120181627
 9 -1.155684287780797 0.0002834467120181627
 10 4.045926969923533 0.0002834467120181627
 11 4.478653300716447 0.0002834467120181627
 12 13.39298069727634 0.000000000000000
 13 14.86756437410564 0.000000000000000
 14 15.67999725023637 0.000000000000000
 15 18.11041554866778 0.000000000000000
 16 18.16165859201758 0.000000000000000
 17 18.33925835247351 0.000000000000000
 18 19.27596008637829 0.000000000000000
 19 19.53917075437059 0.000000000000000
 20 19.92192974505413 0.000000000000000

 spin=1 k-point=5/7060 Cartesian=0.04451210284076152 0.02569907455730998 0.000000000000000 (4063 plane wave)
 1 -70.55457443654061 0.0002834467120181627
 2 -70.55205610308985 0.0002834467120181627
 3 -37.34301382772962 0.0002834467120181627
 4 -37.32112196390658 0.0002834467120181627
 5 -37.31832944142127 0.0002834467120181627
 6 -37.31664458527715 0.0002834467120181627
 7 -37.31506965516799 0.0002834467120181627
 8 -37.31311242505846 0.0002834467120181627
 9 -0.9813668592576944 0.0002834467120181627
 10 4.205527633573116 0.0002834467120181627
 11 4.646580461315939 0.0002834467120181624
 12 12.31124433177331 0.000000000000000
 13 14.42253411785678 0.000000000000000
 14 15.16197175184290 0.000000000000000
 15 17.04131653815258 0.000000000000000
 16 17.64967893282163 0.000000000000000
 17 18.81457700936820 0.000000000000000
 18 19.07811376082064 0.000000000000000
 19 19.16770976649445 0.000000000000000
 20 19.81230189075818 0.000000000000000

 spin=1 k-point=6/7060 Cartesian=0.05564012855095402 0.03212384319663870 0.000000000000000 (4065 plane wave)
 1 -70.55434420216056 0.0002834467120181627
 2 -70.55195752672880 0.0002834467120181627
 3 -37.34201776871618 0.0002834467120181627
 4 -37.32321538276134 0.0002834467120181627
 5 -37.31899660776598 0.0002834467120181627
