ecutwfc_ry	experiment_id	converged	energy_ev_per_atom	pressure_gpa	delta_to_next_mev_per_atom	delta_pressure_to_next_gpa	passes_next_step
20.0	S1-20260805-002	True	-57.18341434814601	0.7789389	0.011269056592766447	9.899999999996023e-05	True
30.0	S1-20260805-001	True	-57.183403079089416	0.7788399	0.001120682171062981	2.019999999991473e-05	True
40.0	S1-20260805-003	True	-57.183401958407245	0.7788197000000001	0.0001076224691587413	1.4800000000092517e-05	True
60.0	S1-20260805-005	True	-57.183401850784776	0.7788049	None	None	None
