ecutwfc_ry	experiment_id	converged	energy_ev_per_atom	pressure_gpa	delta_to_next_mev_per_atom	delta_pressure_to_next_gpa	passes_next_step
40.0	S1-20260805-013	True	-24.65641895394327	-2.9370424	0.0014054448698175293	2.959999999996299e-05	True
60.0	S1-20260805-014	True	-24.65642035938814	-2.9370128	5.019012405682588e-05	1.3999999999292356e-06	True
80.0	S1-20260805-015	True	-24.656420409578264	-2.9370114000000003	None	None	None
