geometry_id	status	deformation_determinant	basis_count	effective_rank	effective_condition_number	low_g_half_space_vector_count	low_g_vectors_unchanged	electron_number_relative_error	density_relative_l2	density_min	hartree_error_mev_per_atom	external_error_mev_per_atom	xc_error_mev_per_atom	combined_error_mev_per_atom	fixed_kedf_error_mev_per_atom	failed_gates
equilibrium	accepted_geometry	1.0	23	23	204761.02444058028	7	True	3.1648757688647794e-13	0.005629965943475478	0.002213119967320146	-0.042510949637766804	0.39709847120938946	-0.08431582835299878	0.2702716932186239	4.003408004841447	
isotropic_m005	accepted_geometry	0.985074875	23	23	220049.32684717633	7	True	1.2523315717771766e-13	0.005630286740683581	0.0022546965727757314	-0.04276273384840046	0.38293478393214286	-0.08506173778854986	0.25511031229519254	4.048717237935762	
isotropic_p005	accepted_geometry	1.0150751249999996	23	23	190932.09060240275	7	True	1.7275070263167436e-13	0.005629390405101549	0.0021716023600345364	-0.0422628865850011	0.4101547499431035	-0.08358488354787141	0.284306979810231	3.955019889669842	
tetragonal_m005	accepted_geometry	1.0	23	23	209305.38634771074	7	True	3.1752378504279477e-13	0.005737112470007269	0.002212850423083928	-0.04483820630840629	0.3958058735333836	-0.07507630122205455	0.27589136600292274	3.6734741142119276	
tetragonal_p005	accepted_geometry	0.9999999999999999	23	23	208559.9195374949	7	True	3.176718147794115e-13	0.005738175684468644	0.0022128185716090167	-0.04486938969824883	0.39579888591578793	-0.07519117275833764	0.27573832345920146	3.695731282519432	
shear_xy_m005	accepted_geometry	1.0	23	23	204560.22179481978	7	True	3.1648757688647794e-13	0.00567224626667614	0.00221180234090691	-0.0434436921242648	0.3959648088196488	-0.08081378240021309	0.2717073342951709	3.897298540195493	
shear_xy_p005	accepted_geometry	1.0	23	23	204560.22179490147	7	True	3.1811590398926154e-13	0.005672244492895852	0.002211802801586594	-0.04344371141053183	0.3959665892505626	-0.08092849085983289	0.2715943869801979	3.90605460064819	
