replay_experiment_id	reference_experiment_id	input_directory	material	series_id	solver	input_sha256	stru_sha256	kpt_sha256	metadata_sha256	pseudopotential	pseudopotential_sha256	reference_result_path	reference_result_sha256	reference_log_path	reference_log_sha256	reference_experiment_metadata_path	reference_experiment_metadata_sha256	reference_abacus_path	reference_abacus_realpath	reference_abacus_sha256	reference_mpirun_path	reference_mpirun_realpath	reference_mpirun_sha256	config_sha256
S1-20260805-113	S1-20260805-074	inputs/s1/non_equilibrium_convergence/al/v100/ofdft_next_cutoff	al	ofdft_next_cutoff	ofdft	a2fa559fffcdd73d2f3ef8e2a08208480544638765eab7c0b4e1d3df55780ea1	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	df32816dec0d500442a4f5ac1a841312eaf550cc1b1ec2f0caa8d2de9d2e3b71	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	runs/S1-20260805-074/result.json	93a28628e95d5d10ede91a911e99fc7814bc9013c8ca3dd2e0a118aba17c86fe	runs/S1-20260805-074/OUT.s1_al_v100_ofdft_next_cutoff/running_scf.log	a513863dba0225a0599adea825bebd6b7342db3c75232a3aee5256d4a1387fa6	runs/S1-20260805-074/experiment_metadata.json	d6833dbd341daa68e56108d12776a4b89501f4aaa9fa8e4d53f3ecdad3eeb8f3	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	2d68a57c7b25608b3550854dabc2e63601eeca956bf185ad7d0967052bdbb4ba	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	7ae46f275cdccb2b9783d283986f5eac82c837106b7693a6638ecad5e44cfa20	9130989fdcdde45b9f9324cdc6faa59e785467aa005ceef017d50002f6a0a4a7
S1-20260805-114	S1-20260805-081	inputs/s1/non_equilibrium_convergence/al/v100/ksdft_next_cutoff	al	ksdft_next_cutoff	ksdft	eab8bf6b83a37778b57a6e7a38a0302096b2720ea6f9ca109896ccc8287024f1	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	e3d368f68869b907df36adf00a5dcbb3f54c9eb3622951d0f355667b61fce2bc	7e5869877df53103462eeb5003510421b06854b53cc4fb66835ba4a8fa18bfae	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	runs/S1-20260805-081/result.json	13e8b8f993bd21803f1017c9e5c4eb871ff67a0adcbbe62565ce090b8e31c629	runs/S1-20260805-081/OUT.s1_al_v100_ksdft_next_cutoff/running_scf.log	7df1a8e1d9c949fd5c6969e4f93cec73d257b5513aa1689a6e2eeeba8e06623a	runs/S1-20260805-081/experiment_metadata.json	bcc2d372be5bede1cbbb03905f15a6cefaa6cfdfaf6353df8cf6819c93ea50a1	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	2d68a57c7b25608b3550854dabc2e63601eeca956bf185ad7d0967052bdbb4ba	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	7ae46f275cdccb2b9783d283986f5eac82c837106b7693a6638ecad5e44cfa20	9130989fdcdde45b9f9324cdc6faa59e785467aa005ceef017d50002f6a0a4a7
S1-20260805-115	S1-20260805-088	inputs/s1/non_equilibrium_convergence/al/v100/ksdft_next_kmesh	al	ksdft_next_kmesh	ksdft	824523853d2c147e8452cabdd235bd9bd2ee86e755a117cf6dd5ea6c011d41bb	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	4d7744543f06b77b136c50026beb82e0fea2ab21e544582fbb5f959543df659e	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	runs/S1-20260805-088/result.json	62d967f35205f79578a7cafb52786fe6a6cd82c61dc929be07589d35862e409b	runs/S1-20260805-088/OUT.s1_al_v100_ksdft_next_kmesh/running_scf.log	7f3846a7184b6b9ec35a074d76d968d62843ff9f7958a38739aca02b17f34369	runs/S1-20260805-088/experiment_metadata.json	cd5da6534dcabd3a14e4325ed8e37b7662340e713eded45f0dd9fb6cacf6a7ee	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	2d68a57c7b25608b3550854dabc2e63601eeca956bf185ad7d0967052bdbb4ba	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	7ae46f275cdccb2b9783d283986f5eac82c837106b7693a6638ecad5e44cfa20	9130989fdcdde45b9f9324cdc6faa59e785467aa005ceef017d50002f6a0a4a7
S1-20260805-116	S1-20260805-095	inputs/s1/non_equilibrium_convergence/mg/v100/ofdft_next_cutoff	mg	ofdft_next_cutoff	ofdft	4f03a80598ee2d7b505bea9b8a03bda88ef6e5ddfc96635a297e92ff1619bd67	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	7b866158c17dd592469e88c63e9c5c624b476f9daa9a0539e29a8bd52718cb10	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	runs/S1-20260805-095/result.json	aa773e7ee023507c032b9418c77d41e069bcf3a017cc1ee9661d1d0464426d8e	runs/S1-20260805-095/OUT.s1_mg_v100_ofdft_next_cutoff/running_scf.log	0d2c6465d1931d81701b7c8d13a500e15df0f1aa2812434b92791175d40786e8	runs/S1-20260805-095/experiment_metadata.json	b6dcb595074f678ed3dc57958d55361afc79eb894b4751365dc0cf749c5f6ba1	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	2d68a57c7b25608b3550854dabc2e63601eeca956bf185ad7d0967052bdbb4ba	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	7ae46f275cdccb2b9783d283986f5eac82c837106b7693a6638ecad5e44cfa20	9130989fdcdde45b9f9324cdc6faa59e785467aa005ceef017d50002f6a0a4a7
S1-20260805-117	S1-20260805-102	inputs/s1/non_equilibrium_convergence/mg/v100/ksdft_next_cutoff	mg	ksdft_next_cutoff	ksdft	e8b664ffeb076b38839bc50c20335ac4cc8b57d89f20cdbef05737b10542eb22	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	32951288ba89ed36da286ec24d81bed9cfa10f49f146f6359c247bd9e0df4512	5da849c8ca973f72de8902c4fae65b4c9c938b6b76bc504fa3b783b824377e12	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	runs/S1-20260805-102/result.json	d1c495c8b849ed098abe68819e08b6b5358c712b0d3a8e9c2e02892d387b6e91	runs/S1-20260805-102/OUT.s1_mg_v100_ksdft_next_cutoff/running_scf.log	410992f3678a8f41840077abfaef51c3c4377491d2fed97b1cee14249ebd39a4	runs/S1-20260805-102/experiment_metadata.json	6e80e32d7de7d0678c1e8331a5ee4f567f26254d6e7ae98a3426e68db3c6b3b9	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	2d68a57c7b25608b3550854dabc2e63601eeca956bf185ad7d0967052bdbb4ba	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	7ae46f275cdccb2b9783d283986f5eac82c837106b7693a6638ecad5e44cfa20	9130989fdcdde45b9f9324cdc6faa59e785467aa005ceef017d50002f6a0a4a7
S1-20260805-118	S1-20260805-109	inputs/s1/non_equilibrium_convergence/mg/v100/ksdft_next_kmesh	mg	ksdft_next_kmesh	ksdft	9749f0ad6eb1decc78007c7b5ae5453024215bcf6f7d1c7a17a1a7f14435ac41	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	c0e159319038c98333a6fb1506a9e96d6abfbfcd3d6c907ac6ac5d7c5d71e926	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	runs/S1-20260805-109/result.json	eb8e43efe414199a7778ffe6ddbf6f7d47a072e897b6f364602af38e37f74f03	runs/S1-20260805-109/OUT.s1_mg_v100_ksdft_next_kmesh/running_scf.log	8991796201f6fe0a626f2bf6f5972c27a2e08af2ed49b1a123708724e3b80328	runs/S1-20260805-109/experiment_metadata.json	be78f8b3b50be0049bd528577b0c8908d33f8c8ff2c83bcb51461c20ea84828c	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/source/abacus_pw_para	2d68a57c7b25608b3550854dabc2e63601eeca956bf185ad7d0967052bdbb4ba	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	/home/shenwei01/M_OFDFT_recovery_S0_20260805_001/conda_prefix/bin/mpirun	7ae46f275cdccb2b9783d283986f5eac82c837106b7693a6638ecad5e44cfa20	9130989fdcdde45b9f9324cdc6faa59e785467aa005ceef017d50002f6a0a4a7
