execution_index	experiment_id	phase	requirement	material	volume_ratio	role	ecutwfc_ry	ecutrho_ry	kmesh	atom_count	expected_electrons	pseudo_basename	pseudo_sha256	suffix
1	S1-20260810-327	al_eos	al_hard_required	al	0.90	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr2_al_v090_normal_common
2	S1-20260810-328	al_eos	al_hard_required	al	1.10	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr2_al_v110_normal_common
3	S1-20260810-329	al_eos	al_hard_required	al	0.94	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr2_al_v094_normal_common
4	S1-20260810-330	al_eos	al_hard_required	al	0.97	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr2_al_v097_normal_common
5	S1-20260810-331	al_eos	al_hard_required	al	1.03	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr2_al_v103_normal_common
6	S1-20260810-332	al_eos	al_hard_required	al	1.06	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr2_al_v106_normal_common
7	S1-20260810-333	mg_required	mg_diagnostic_required	mg	0.90	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr2_mg_v090_normal_common
8	S1-20260810-334	mg_required	mg_diagnostic_required	mg	1.10	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr2_mg_v110_normal_common
