experiment_id	structure_id	initialization	reference_energy_difference_mev_per_atom	density_relative_l2	three_initialization_energy_spread_mev_per_atom	accepted
S3-20260813-302	iso_v090	uniform	15.923219875674022	0.003228611421344946	2.7284841053187847e-09	True
S3-20260813-303	iso_v090	atomic_superposition_projection	15.923219876498251	0.0032286123901945373	2.7284841053187847e-09	True
S3-20260813-304	iso_v090	low_g_perturbation_projection	15.923219878402506	0.0032286160296250634	2.7284841053187847e-09	True
S3-20260813-306	iso_v094	uniform	16.237298391928334	0.0032699610795307436	2.8563817977556027e-09	True
S3-20260813-307	iso_v094	atomic_superposition_projection	16.237298389100374	0.003269959620723339	2.8563817977556027e-09	True
S3-20260813-308	iso_v094	low_g_perturbation_projection	16.237298389071952	0.003269970297018507	2.8563817977556027e-09	True
S3-20260813-310	iso_v097	uniform	7011.609375234258	0.23290607153081155	6995.150458855235	False
S3-20260813-311	iso_v097	atomic_superposition_projection	16.458916381367317	0.003303301005807375	6995.150458855235	False
S3-20260813-312	iso_v097	low_g_perturbation_projection	16.458916379022526	0.0033033119445924383	6995.150458855235	False
S3-20260813-314	iso_v100	uniform	16.670570121107176	0.0033384017250685807	5.258016244624741e-10	True
S3-20260813-315	iso_v100	atomic_superposition_projection	16.670570121277706	0.003338401147885895	5.258016244624741e-10	True
S3-20260813-316	iso_v100	low_g_perturbation_projection	16.670570120751904	0.003338403349426908	5.258016244624741e-10	True
S3-20260813-318	iso_v103	uniform	16.873443382593223	0.0033751154784826755	3.836930773104541e-10	True
S3-20260813-319	iso_v103	atomic_superposition_projection	16.873443382493747	0.0033751244132484357	3.836930773104541e-10	True
S3-20260813-320	iso_v103	low_g_perturbation_projection	16.87344338220953	0.003375121116515882	3.836930773104541e-10	True
S3-20260813-322	iso_v106	uniform	17.068332753666482	0.003412291989990808	1.4210854715202004e-10	True
S3-20260813-323	iso_v106	atomic_superposition_projection	17.068332753524373	0.0034122931520504034	1.4210854715202004e-10	True
S3-20260813-324	iso_v106	low_g_perturbation_projection	17.06833275365227	0.0034122905854547395	1.4210854715202004e-10	True
S3-20260813-326	iso_v110	uniform	17.3164147056184	0.0034632809187969886	7.673861546209082e-10	True
S3-20260813-327	iso_v110	atomic_superposition_projection	17.316414704851013	0.0034632818020287827	7.673861546209082e-10	True
S3-20260813-328	iso_v110	low_g_perturbation_projection	17.316414705405236	0.0034632802900677663	7.673861546209082e-10	True
S3-20260813-330	tetragonal_m010	uniform	16.58277043206624	0.0035261747421563077	1.4637180356658064e-09	True
S3-20260813-331	tetragonal_m010	atomic_superposition_projection	16.582770432776783	0.003526180206631762	1.4637180356658064e-09	True
S3-20260813-332	tetragonal_m010	low_g_perturbation_projection	16.582770431313065	0.00352617316721086	1.4637180356658064e-09	True
S3-20260813-334	tetragonal_m005	uniform	16.541395326981956	0.00337599115396272	1.3073986337985843e-09	True
S3-20260813-335	tetragonal_m005	atomic_superposition_projection	16.54139532818988	0.003375990000529219	1.3073986337985843e-09	True
S3-20260813-336	tetragonal_m005	low_g_perturbation_projection	16.54139532688248	0.003375992162957116	1.3073986337985843e-09	True
S3-20260813-338	tetragonal_p005	uniform	16.564469077891886	0.0033792558550665287	5.215383680479135e-09	True
S3-20260813-339	tetragonal_p005	atomic_superposition_projection	16.56446908279463	0.0033792682040976654	5.215383680479135e-09	True
S3-20260813-340	tetragonal_p005	low_g_perturbation_projection	16.564469077579247	0.003379258721891908	5.215383680479135e-09	True
S3-20260813-342	tetragonal_p010	uniform	16.622549133501252	0.00353337507794318	4.149569576838985e-09	True
S3-20260813-343	tetragonal_p010	atomic_superposition_projection	16.62254913765082	0.0035333833268943737	4.149569576838985e-09	True
S3-20260813-344	tetragonal_p010	low_g_perturbation_projection	16.622549133501252	0.0035333800877534716	4.149569576838985e-09	True
S3-20260813-346	orthorhombic_m010	uniform	16.573866570865903	0.003592623082332275	1.9610979506978765e-09	True
S3-20260813-347	orthorhombic_m010	atomic_superposition_projection	16.573866572443308	0.0035926281710790754	1.9610979506978765e-09	True
S3-20260813-348	orthorhombic_m010	low_g_perturbation_projection	16.57386657048221	0.0035926211591329445	1.9610979506978765e-09	True
S3-20260813-350	orthorhombic_m005	uniform	16.51120626075908	0.003390396151147633	1.5916157281026244e-09	True
S3-20260813-351	orthorhombic_m005	atomic_superposition_projection	16.511206261142775	0.00339039335467355	1.5916157281026244e-09	True
S3-20260813-352	orthorhombic_m005	low_g_perturbation_projection	16.51120625955116	0.00339039854391782	1.5916157281026244e-09	True
S3-20260813-354	orthorhombic_p005	uniform	16.51143241694797	0.003389740983461833	9.521272659185342e-10	True
S3-20260813-355	orthorhombic_p005	atomic_superposition_projection	16.511432417843253	0.0033897468561780815	9.521272659185342e-10	True
S3-20260813-356	orthorhombic_p005	low_g_perturbation_projection	16.511432416891125	0.003389736269386135	9.521272659185342e-10	True
S3-20260813-358	orthorhombic_p010	uniform	16.570401132824486	0.0035874697086827217	1.2789769243681803e-09	True
S3-20260813-359	orthorhombic_p010	atomic_superposition_projection	16.570401133677137	0.003587469888215218	1.2789769243681803e-09	True
S3-20260813-360	orthorhombic_p010	low_g_perturbation_projection	16.570401134103463	0.003587473389400319	1.2789769243681803e-09	True
S3-20260813-362	shear_xy_m005	uniform	16.63797001931755	0.0033541766368095412	4.263256414560601e-10	True
S3-20260813-363	shear_xy_m005	atomic_superposition_projection	16.637970019573345	0.0033541808777394454	4.263256414560601e-10	True
S3-20260813-364	shear_xy_m005	low_g_perturbation_projection	16.63797001914702	0.0033541772491914004	4.263256414560601e-10	True
S3-20260813-366	shear_xy_p005	uniform	16.637536744866566	0.003354540292539425	1.8474111129762605e-10	True
S3-20260813-367	shear_xy_p005	atomic_superposition_projection	16.637536744681825	0.0033545390416392603	1.8474111129762605e-10	True
S3-20260813-368	shear_xy_p005	low_g_perturbation_projection	16.637536744823933	0.00335454288322143	1.8474111129762605e-10	True
S3-20260813-370	shear_yz_m005	uniform	16.639058333410617	0.0033544524472121405	1.4352963262354024e-09	True
S3-20260813-371	shear_yz_m005	atomic_superposition_projection	16.63905833363799	0.0033544474285916214	1.4352963262354024e-09	True
S3-20260813-372	shear_yz_m005	low_g_perturbation_projection	16.639058332202694	0.003354450481004351	1.4352963262354024e-09	True
S3-20260813-374	shear_yz_p005	uniform	16.63793356570409	0.0033543373948599674	1.6626700016786344e-09	True
S3-20260813-375	shear_yz_p005	atomic_superposition_projection	16.637933564354057	0.0033543378489639345	1.6626700016786344e-09	True
S3-20260813-376	shear_yz_p005	low_g_perturbation_projection	16.63793356404142	0.0033543382798615143	1.6626700016786344e-09	True
