ecutwfc_ry	experiment_id	converged	energy_ev_per_atom	pressure_gpa	delta_to_next_mev_per_atom	delta_pressure_to_next_gpa	passes_next_step
40.0	S1-20260805-010	True	-57.20668764775707	-0.18799670000000002	0.12592117901277788	0.00642970000000001	True
60.0	S1-20260805-011	True	-57.206813568936084	-0.181567	0.009980760417249712	6.030000000001312e-05	True
80.0	S1-20260805-012	True	-57.2068235496965	-0.18162730000000002	None	None	None
