dimension	local_index	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	bottom_eigenvalues
17	5	144	-0.05	0.004196540742932636	[0.004196540742932636,0.001566452690577789]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
17	6	144	-0.025	0.0003772220865519513	[0.0003772220865519513,5.598568198963992e-06]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
17	7	144	0.0	0.0006669699178150528	[0.0006669699178150528,5.163742720145542e-05]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
17	8	144	0.025	0.0002195443696083462	[0.0002195443696083462,3.294504416025681e-05]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
17	9	144	0.05	0.010125482188875767	[0.010125482188875767,0.0002240712628412423]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
18	0	128	-0.05	0.004334446520801268	[0.004334446520801268,0.0]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
18	1	128	-0.025	2.71333509435177e-05	[2.71333509435177e-05,2.9575586669421963e-06]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
18	2	128	0.0	0.00014741138187754317	[0.00014741138187754317,4.792553246856475e-05]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
18	3	128	0.025	2.682262769242261e-05	[2.682262769242261e-05,0.0]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
18	4	128	0.05	0.00246734896819653	[0.00246734896819653,0.0]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
18	5	144	-0.05	0.0022308845617534587	[0.0022308845617534587,0.0]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
18	6	144	-0.025	9.668774511596574e-05	[9.668774511596574e-05,3.306651113363206e-06]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
18	7	144	0.0	0.00016997816381818462	[0.00016997816381818462,4.6356056629868636e-05]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
18	8	144	0.025	6.741568847364762e-05	[6.741568847364762e-05,3.52019892386405e-06]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
18	9	144	0.05	0.000574717144961005	[0.000574717144961005,1.4787793334710982e-06]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
19	0	128	-0.05	0.0	[0.0,0.0]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
19	1	128	-0.025	3.306651113363206e-06	[3.306651113363206e-06,0.0]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
19	2	128	0.0	4.9658516814855666e-05	[4.9658516814855666e-05,8.537736462515939e-07]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
19	3	128	0.025	0.0	[0.0,0.0]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
19	4	128	0.05	0.0	[0.0,0.0]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
19	5	144	-0.05	0.0	[0.0,0.0]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
19	6	144	-0.025	3.1945284701301985e-06	[3.1945284701301985e-06,0.0]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
19	7	144	0.0	4.9643835804390005e-05	[4.9643835804390005e-05,2.9575586669421963e-06]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
19	8	144	0.025	3.52019892386405e-06	[3.52019892386405e-06,0.0]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
19	9	144	0.05	1.9090959104164224e-06	[1.9090959104164224e-06,0.0]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
20	0	128	-0.05	0.0	[0.0,0.0]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
20	1	128	-0.025	3.306651113363206e-06	[3.306651113363206e-06,0.0]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
20	2	128	0.0	1.2074182697257333e-06	[1.2074182697257333e-06,0.0]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
20	3	128	0.025	0.0	[0.0,0.0]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
20	4	128	0.05	0.0	[0.0,0.0]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
20	5	144	-0.05	0.0	[0.0,0.0]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
20	6	144	-0.025	3.1945284701301985e-06	[3.1945284701301985e-06,0.0]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
20	7	144	0.0	3.1945284701301985e-06	[3.1945284701301985e-06,0.0]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
20	8	144	0.025	3.52019892386405e-06	[3.52019892386405e-06,0.0]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
20	9	144	0.05	1.4787793334710982e-06	[1.4787793334710982e-06,8.537736462515939e-07]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
